Time(ns),CH0,CH1
0.0,0.0,0
10.0,1.0,0
20.0,0.0,0
30.0,1.0,0
40.0,0.0,0
50.0,1.0,0
60.0,0.0,0
70.0,1.0,0
80.0,0.0,0
90.0,1.0,1
100.0,0.0,0
110.0,1.0,0
120.0,0.0,0
130.0,1.0,1
140.0,0.0,0
150.0,1.0,0
160.0,0.0,1
170.0,1.0,1
180.0,0.0,1
190.0,1.0,0
200.0,0.0,1
210.0,1.0,1
220.0,0.0,1
230.0,1.0,0
240.0,0.0,0
250.0,1.0,0
260.0,0.0,1
270.0,1.0,0
280.0,0.0,1
290.0,1.0,0
300.0,0.0,0
310.0,1.0,0
320.0,0.0,0
330.0,1.0,0
340.0,0.0,0
350.0,1.0,0
360.0,0.0,0
370.0,1.0,1
380.0,0.0,0
390.0,1.0,1
400.0,0.0,1
410.0,1.0,1
420.0,0.0,0
430.0,1.0,1
440.0,0.0,1
450.0,1.0,0
460.0,0.0,0
470.0,1.0,0
480.0,0.0,0
490.0,1.0,0
500.0,0.0,0
510.0,1.0,0
520.0,0.0,0
530.0,1.0,0
540.0,0.0,0
550.0,1.0,0
560.0,0.0,0
570.0,1.0,0
580.0,0.0,0
590.0,1.0,0
600.0,0.0,0
610.0,1.0,0
620.0,0.0,0
630.0,1.0,0
640.0,0.0,0
650.0,1.0,0
660.0,0.0,0
670.0,1.0,0
680.0,0.0,0
690.0,1.0,1
700.0,0.0,1
710.0,1.0,0
720.0,0.0,0
730.0,1.0,1
740.0,0.0,0
750.0,1.0,0
760.0,0.0,0
770.0,1.0,0
780.0,0.0,0
790.0,1.0,1
800.0,0.0,1
810.0,1.0,1
820.0,0.0,1
830.0,1.0,0
840.0,0.0,0
850.0,1.0,0
860.0,0.0,1
870.0,1.0,0
880.0,0.0,1
890.0,1.0,0
900.0,0.0,0
910.0,1.0,0
920.0,0.0,0
930.0,1.0,0
940.0,0.0,0
950.0,1.0,0
960.0,0.0,0
970.0,1.0,1
980.0,0.0,0
990.0,1.0,1
